Ref,Val,Package,PosX,PosY,Rot,Side
"C1","18p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",35.775000,-42.062500,270.000000,top
"C2","18p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",27.675000,-42.137500,90.000000,top
"C3","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",23.508000,-51.000000,0.000000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",27.008000,-47.462500,90.000000,top
"C5","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",34.733623,-70.716377,225.000000,top
"C6","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",26.066377,-53.933623,45.000000,top
"C7","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.750000,-51.212500,90.000000,top
"C8","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",29.000000,-118.112500,90.000000,top
"C9","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",32.387500,-108.500000,180.000000,top
"C10","2.2u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",28.762500,-115.150000,180.000000,top
"C11","2.2u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",28.650000,-111.800000,270.000000,top
"C12","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",36.800000,-108.550000,0.000000,top
"C13","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",41.175000,-114.737500,270.000000,top
"C14","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",28.850000,-124.950000,180.000000,top
"C15","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",42.450000,-119.037500,270.000000,top
"C16","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",22.650000,-31.712500,270.000000,top
"C17","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",23.675000,-46.375000,0.000000,top
"C18","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",22.437500,-42.170000,0.000000,top
"C19","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",43.262500,-35.550000,180.000000,top
"C20","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",22.425000,-44.250000,0.000000,top
"C21","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",25.525000,-42.137500,270.000000,top
"C22","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",33.275000,-37.287500,90.000000,top
"C23","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",35.425000,-37.312500,90.000000,top
"C24","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.550000,-37.325000,90.000000,top
"C25","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",40.175000,-124.962500,90.000000,top
"C26","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",42.350000,-124.962500,90.000000,top
"D1","LED","LED_0805_2012Metric",32.137500,-52.325000,0.000000,top
"L1","100u","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",23.650000,-48.525000,180.000000,top
"R2","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",22.550000,-54.100000,270.000000,top
"R3","20k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",27.900000,-127.950000,90.000000,top
"R4","13k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",29.900000,-127.950000,270.000000,top
"R5","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",32.918000,-129.698000,180.000000,top
"R6","20k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",27.800000,-122.000000,90.000000,top
"R7","13k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",29.900000,-121.950000,90.000000,top
"R8","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",36.712000,-129.698000,0.000000,top
"R10","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",28.300000,-50.800000,180.000000,top
"U1","STM32F373RCTx","LQFP-64_10x10mm_P0.5mm",35.300000,-61.250000,315.000000,top
"U2","TL074","SOIC-14_3.9x8.7mm_P1.27mm",34.850000,-124.070000,0.000000,top
"U3","AP1117-15","SOT-223-3_TabPin2",43.050000,-41.650000,0.000000,top
"U4","LM4040DBZ-2.5","SOT-23",23.100000,-57.900000,0.000000,top
"U5","PCM5100","TSSOP-20_4.4x6.5mm_P0.65mm",34.850000,-113.600000,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm_HandSoldering",31.725000,-41.725000,180.000000,top
